Source?,Date (MSM time) (MM/DD/YYYY),Time since reset (HH:MM:SS),"Day? (Local, 6am-8pm)","Night? (Local, 6am-8pm)",Torches Lit,Island,Titan skin?,Parent 1 Species,Parent 1 Level,Parent 2 Species,Parent 2 Level,Result Monster
themixedmaster,8/12/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/12/2025,,False,True,10.0,M Bone,False,Plinkajou,20,Rare Uuduk,20,Uuduk
themixedmaster,8/12/2025,,False,False,10.0,M Water,False,Rare Spunge,20,Cybop,20,Spunge
themixedmaster,8/13/2025,,False,False,10.0,Water,False,Rare Spunge,20,Cybop,20,Cybop
themixedmaster,8/13/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/13/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/13/2025,,False,False,10.0,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Rare Larvaluss
themixedmaster,8/13/2025,,False,False,10.0,M Water,False,Rare Spunge,20,Cybop,20,Cybop
themixedmaster,8/13/2025,,False,False,10.0,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Bridg-it
themixedmaster,8/13/2025,,False,False,10.0,Haven,False,Tring,19,Barrb,15,Barrb
themixedmaster,8/13/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/13/2025,,False,False,10.0,M Water,False,Shellbeat,19,Rare Shellbeat,19,Shellbeat
themixedmaster,8/13/2025,,False,False,10.0,Water,False,Rare Spunge,20,Cybop,20,Spunge
themixedmaster,8/13/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/13/2025,,False,False,10.0,Psychic,False,Gloptic,20,Kayna,20,Kayna
themixedmaster,8/13/2025,,False,False,10.0,Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Bridg-it
themixedmaster,8/13/2025,,False,True,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/13/2025,,False,False,10.0,Water,False,Rare Spunge,20,Cybop,20,Cybop
themixedmaster,8/13/2025,,False,False,10.0,M Faerie,False,Rare Bridg-it,20,Rare Clavi Gnat,20,Clavi Gnat
themixedmaster,8/14/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Air,True,Rare Maw,20,Riff,20,Epic Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/14/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/14/2025,,False,False,10.0,Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Congle
themixedmaster,8/14/2025,,False,False,10.0,Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,Shugabush,False,Shugabush,20,Rare Quibble,20,Shugabush
themixedmaster,8/14/2025,,False,False,10.0,Psychic,False,Periscorp,20,Toe Jammer,20,Rare Periscorp
themixedmaster,8/14/2025,,False,False,10.0,Shanty,False,Rare Gobbleygourd,20,Clavavera,20,Gobbleygourd
themixedmaster,8/14/2025,,False,False,10.0,M Plant,False,Rare Shrubb,20,Rare Bowgart,20,Bowgart
themixedmaster,8/14/2025,,False,False,10.0,M Cold,False,Rare Toe Jammer,20,Rare Potbelly,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,M Air,False,Rare T-Rox,20,Rare Congle,20,Rare Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Water,False,Rare Toe Jammer,20,Rare Potbelly,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,M Light,False,Rare Fiddlement,20,Rare Gob,20,Gob
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Periscorp
themixedmaster,8/14/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/14/2025,,True,False,10.0,Faerie,False,Pladdie,20,Cantorell,20,Cantorell
themixedmaster,8/14/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/14/2025,,False,False,10.0,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Frondley
themixedmaster,8/14/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Rare Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/14/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/14/2025,,False,False,10.0,M Cold,False,Rare Toe Jammer,20,Rare Potbelly,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,M Air,False,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/14/2025,,False,False,10.0,M Water,False,Rare Toe Jammer,20,Rare Potbelly,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,M Light,False,Rare Fiddlement,20,Rare Gob,20,Gob
themixedmaster,8/14/2025,,False,False,10.0,M Faerie,False,Pladdie,20,Rare Drumpler,20,Pladdie
themixedmaster,8/14/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,Rare Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Glowl
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/14/2025,,False,False,10.0,M Psychic,False,Periscorp,20,Toe Jammer,20,Periscorp
themixedmaster,8/14/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/14/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/14/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/14/2025,,False,False,10.0,M Cold,False,Rare Toe Jammer,20,Rare Potbelly,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,M Air,False,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/14/2025,,False,False,10.0,M Water,False,Rare Toe Jammer,20,Rare Potbelly,20,Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,M Light,False,Rare Fiddlement,20,Rare Gob,20,Fiddlement
themixedmaster,8/14/2025,,False,True,10.0,M Bone,False,Plinkajou,20,Rare Uuduk,20,Uuduk
themixedmaster,8/14/2025,,False,False,10.0,Bone,False,Plinkajou,19,Rare Denchuhs,15,Denchuhs
themixedmaster,8/14/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Rare Oaktopus
themixedmaster,8/14/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Epic Potbelly
themixedmaster,8/14/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,Congle
themixedmaster,8/14/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/14/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Epic Potbelly
themixedmaster,8/14/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Congle
themixedmaster,8/14/2025,,False,False,10.0,Psychic,False,Periscorp,20,Toe Jammer,20,Periscorp
themixedmaster,8/14/2025,,False,False,10.0,Shanty,False,Rare Gobbleygourd,20,Clavavera,20,Gobbleygourd
themixedmaster,8/14/2025,,False,False,10.0,M Cold,False,Rare Congle,20,Rare Spunge,20,Congle
themixedmaster,8/14/2025,,False,False,10.0,M Air,False,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/14/2025,,False,False,10.0,M Water,False,Rare Spunge,20,Rare Scups,20,Scups
themixedmaster,8/14/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/14/2025,,False,False,10.0,M Plant,False,Rare T-Rox,20,Rare Bowgart,20,Bowgart
themixedmaster,8/15/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/15/2025,,False,False,10.0,Shugabush,False,Shugabush,20,Rare Quibble,20,Shugabuzz
themixedmaster,8/15/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Oaktopus
themixedmaster,8/15/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Oaktopus
themixedmaster,8/15/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/15/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/15/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/15/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/15/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Glowl
themixedmaster,8/15/2025,,False,False,10.0,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Larvaluss
themixedmaster,8/15/2025,,False,False,10.0,M Plant,False,Rare T-Rox,20,Rare Bowgart,20,Bowgart
themixedmaster,8/15/2025,,False,False,10.0,M Cold,False,Rare Congle,20,Rare Spunge,20,Spunge
themixedmaster,8/15/2025,,False,False,10.0,M Air,False,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/15/2025,,False,False,10.0,M Water,False,Rare Spunge,20,Rare Scups,20,Spunge
themixedmaster,8/15/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/15/2025,,False,False,10.0,M Light,False,Rare Fiddlement,20,Rare Gob,20,Gob
themixedmaster,8/15/2025,,False,False,10.0,M Faerie,False,Pladdie,20,Rare Drumpler,20,Pladdie
themixedmaster,8/15/2025,,False,True,10.0,M Bone,False,Plinkajou,20,Rare Uuduk,20,Uuduk
themixedmaster,8/15/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/15/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/15/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Rare Oaktopus
themixedmaster,8/16/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Rare Oaktopus
themixedmaster,8/16/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,Congle
themixedmaster,8/16/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/16/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/16/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/16/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Glowl
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Shanty,False,Rare Gobbleygourd,20,Clavavera,20,Gobbleygourd
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,M Plant,False,Rare T-Rox,20,Rare Bowgart,20,Rare Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,Psychic,False,Toe Jammer,20,Rare Periscorp,20,Rare Periscorp
themixedmaster,8/16/2025,,False,False,10.0,M Cold,False,Deedge,20,Rare Quibble,20,Epic Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,M Air,False,Riff,20,Rare Maw,20,Maw
themixedmaster,8/16/2025,,False,False,10.0,M Water,False,Rare Shellbeat,20,Rare Fwog,20,Fwog
themixedmaster,8/16/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/16/2025,,False,False,10.0,M Light,False,Rare Fiddlement,20,Rare Gob,20,Fiddlement
themixedmaster,8/16/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/16/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Tapricorn
themixedmaster,8/16/2025,,False,False,10.0,M Air,False,Riff,20,Rare Maw,20,Maw
themixedmaster,8/16/2025,,False,False,10.0,M Water,False,Rare Shellbeat,20,Rare Fwog,20,Fwog
themixedmaster,8/16/2025,,False,False,10.0,M Cold,False,Deedge,20,Rare Quibble,20,Quibble
themixedmaster,8/16/2025,,False,False,10.0,M Air,False,Riff,20,Rare Maw,20,Maw
themixedmaster,8/16/2025,,False,False,10.0,M Water,False,Rare Shellbeat,20,Rare Fwog,20,Fwog
themixedmaster,8/16/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/16/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/16/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/16/2025,,False,False,10.0,Shugabush,False,Shugabush,20,Rare Quibble,20,Shugabush
themixedmaster,8/16/2025,,False,False,10.0,Sanctum,False,Rare Larvaluss,20,Rare Frondley,20,Frondley
themixedmaster,8/16/2025,,False,False,10.0,M Plant,False,Rare Bowgart,20,Rare Shrubb,20,Bowgart
themixedmaster,8/16/2025,,False,False,10.0,M Air,False,Riff,20,Rare Maw,20,Maw
themixedmaster,8/16/2025,,False,False,10.0,M Water,False,Rare Shellbeat,20,Rare Fwog,20,Fwog
themixedmaster,8/16/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/17/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Oaktopus
themixedmaster,8/17/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Oaktopus
themixedmaster,8/17/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/17/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Dandidoo
themixedmaster,8/17/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/17/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/17/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Congle
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,True,False,10.0,Bone,False,Plinkajou,20,Rare Withur,20,Withur
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,Shanty,False,Rare Gobbleygourd,20,Clavavera,20,Clavavera
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Plant,False,Rare Bowgart,20,Rare Shrubb,20,Shrubb
themixedmaster,8/17/2025,,False,False,10.0,M Cold,False,Deedge,20,Rare Quibble,20,Quibble
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Air,False,Riff,20,Rare Maw,20,Maw
themixedmaster,8/17/2025,,False,False,10.0,M Water,False,Rare Shellbeat,20,Rare Fwog,20,Fwog
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Earth,False,Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/17/2025,,False,False,10.0,M Light,False,Rare Fiddlement,20,Rare Gob,20,Gob
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Faerie,False,Pladdie,20,Rare Drumpler,20,Pladdie
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Toe Jammer
themixedmaster,8/17/2025,,False,False,10.0,M Psychic,False,Rare Tapricorn,20,Toe Jammer,20,Rare Tapricorn
themixedmaster,8/17/2025,,False,False,10.0,Psychic,False,Rare Tapricorn,20,Rare Yuggler,20,Yuggler
themixedmaster,8/17/2025,,False,False,10.0,M Air,False,Riff,20,Rare Maw,20,Maw
themixedmaster,8/17/2025,,False,False,10.0,M Water,False,Rare Shellbeat,20,Rare Fwog,20,Fwog
themixedmaster,8/17/2025,,False,False,10.0,Plant,True,Entbrat,20,Rare Oaktopus,20,Oaktopus
themixedmaster,8/17/2025,,False,False,10.0,Cold,False,Rare Oaktopus,20,Deedge,20,Oaktopus
themixedmaster,8/17/2025,,False,False,10.0,Air,True,Rare T-Rox,20,Rare Congle,20,T-Rox
themixedmaster,8/17/2025,,False,False,10.0,Water,False,Shellbeat,20,Rare Dandidoo,20,Epic Potbelly
themixedmaster,8/17/2025,,False,False,10.0,Earth,True,Rare Quarrister,20,Rare Furcorn,20,Furcorn
themixedmaster,8/17/2025,,False,False,10.0,Haven,False,Tring,20,Rare Cybop,20,Cybop
themixedmaster,8/17/2025,,False,False,10.0,Oasis,False,Rare Congle,20,Rare Glowl,20,Congle
