startdate,stopdate,monsters
08-14-2025,08-18-2025,"Epic Toe Jammer,Epic Potbelly,Epic Kayna,Epic Oaktopus,Epic Flowah,Epic Phangler,Epic Rootitoot"
08-06-2025,08-11-2025,"Rare Cahoot"
08-07-2025,08-14-2025,"Rare Floot Fly,Rare Whimmzies,Rare HippityHop,Rare Squot,Rare Cantorell,Rare Clavi Gnat,Rare Bridg-it,Rare Pladdie,Rare Déjà-Jin,Rare Osstax,Rare Knucklehead,Rare Larvaluss,Rare Frondley,Rare Mushaboom"
08-07-2025,08-11-2025,"Rare Boo'qwurm"
08-06-2025,08-18-2025,"Boo'qwurm"
08-14-2025,08-18-2025,"Epic Boo'qwurm"
08-14-2025,08-18-2025,"Schmoochle,Rare Schmoochle,Epic Schmoochle"
08-28-2025,09-02-2025,"Punkleton,Rare Punkleton,Epic Punkleton,Carillong,Rare Carillong,Epic Carillong"
09-03-2025,09-08-2025,"Rare Jam Boree,Epic Jam Boree"
09-04-2025,09-08-2025,"Yool,Rare Yool,Epic Yool,Spurrit,Rare Spurrit,Epic Spurrit,Whiz-bang,Rare Whiz-bang,Epic Whiz-bang"
09-11-2025,09-15-2025,"Schmoochle,Rare Schmoochle,Epic Schmoochle,Monculus,Rare Monculus,Epic Monculus,Boo'qwurm,Rare Boo'qwurm,Epic Boo'qwurm"
